community,sec_cik_or_id,sec_name,icij_name,label,rationale
2,sec:LAW_CUSTODIAL,LAW CUSTODIAL INC.,(coincidence on common term),uncertain,"Generic 'Custodial' name; would need jurisdiction + officer overlap to confirm. Treat as false positive unless evidence found."
16,sec:FORWARD_V_LP,FORWARD VENTURES V LP,FORWARD VENTURES BUSINESS LIMITED,false_positive,"'Forward Ventures V LP' is a US VC fund family. 'Forward Ventures Business Limited' is unlikely to be the same brand — different industries (VC vs business services)."
16,sec:MITSUI,MITSUI & CO LTD,MITSUHITO HOLDING LTD,false_positive,"Mitsui & Co is a Japanese sogo shosha (trading conglomerate, public, large-cap). 'Mitsuhito Holding' is name-coincidence on a Japanese-style prefix. Different entities."
16,sec:FORUM,FORUM CAPITAL PARTNERS,FORUM CAPITAL INTERNATIONAL LTD,uncertain,"Same brand-stem 'Forum Capital' but different legal vehicles; many US PE shops use this name. Needs officer overlap to confirm."
19,sec:CRYSTAL_PROPEL,CRYSTAL PROPEL SDN. BHD.,CRYSTAL PROPERTY HOLDINGS LTD.,false_positive,"Crystal Propel is a Malaysian propulsion/marine entity. Crystal Property Holdings is a real-estate vehicle. Different industries despite shared 'Crystal' prefix."
19,sec:LIM_KUANG_SIA,Lim Kuang Sia,LIM KONG LIMITED,false_positive,"Human name vs corporate entity; surname-coincidence only."
23,sec:DG_CAP,"DG Capital Management, LLC",DG Capital Investments Limited,uncertain,"Both use 'DG Capital'; could be related entities in the same group, or could be name-coincidence. Worth investigating — DG could be initials of a known sponsor."
23,sec:QUICK_CAP,"Quick Capital, LLC",Quick Silver Capital Ltd,false_positive,"Only the 'Capital' suffix overlaps; 'Quick' vs 'Quick Silver' are different brands."
25,sec:YONG_LIP_CHEE,Yong Lip Chee,Yong Lee Lee,false_positive,"Two different individuals; surname-coincidence only."
26,sec:CHINA_BB,"China Broadband Capital Partners III, L.P.",CHINA SHANGHAI CAPITAL LIMITED,false_positive,"China Broadband Capital is a US-LP fund; China Shanghai Capital is a Shanghai entity. Geography-prefix coincidence only."
27,sec:DON,DOUBLE OR NOTHING LLC,Double Power Holdings Ltd,false_positive,"'Double' alone is too generic; different brand stems."
27,sec:CHANG_RAYMOND,Chang Raymond Nobu,"Chang, Chiann-Yeu",false_positive,"Different individuals; surname-coincidence."
27,sec:CHAN_I_TSENG,Chan I-Tseng Jenny,Chan Sing En,false_positive,"Different individuals; surname-coincidence."
30,sec:TITAN,Titan Trust 2024 I,TITAN TRANS LTD.,false_positive,"Generic 'Titan' brand; Titan Trust is a US delaware trust, Titan Trans is shipping/transport offshore. Different industries."
30,sec:ZIMMER,Zimmer Financial Services Group LLC,Zimmer Finance Limited,uncertain,"Zimmer is a distinctive surname; both are financial; could be related family-office vehicles."
30,sec:ALCO,Alco Investment Co,ALCO INVESTING S.A.,uncertain,"Both use 'Alco' (uncommon stem); both are investment vehicles; could be related. Officer-overlap check would resolve."
30,sec:SIMPSON_BOB,SIMPSON BOB R,SIMPSON & GEBHARD LTD.,false_positive,"Individual Bob R Simpson is a known oil-and-gas exec (XTO Energy); 'Simpson & Gebhard Ltd' is a different unrelated firm."
30,sec:HUTTON_KEITH,HUTTON KEITH A,Hutton Trade Inc.,false_positive,"Surname-coincidence only."
33,sec:SANSONE,"SANSONE ADVISORS, LLC",SANSON SERVICES LTD.,false_positive,"'Sansone' vs 'Sanson' — close but distinct stems; different industries."
33,sec:PINNACLE,PINNACLE ASSOCIATES LTD,Pinnacle Associates Limited,uncertain,"Identical name + same legal-suffix variation. Could be the same entity legally split across jurisdictions, or two different 'Pinnacle Associates' firms. Distinctive enough that this is worth investigating."
33,sec:MINERVA,Minerva Advisors LLC,MINERVA OVERSEAS LTD.,uncertain,"'Minerva' is a common brand stem (multiple unrelated firms); but Minerva Advisors does have offshore exposure historically. Worth a deeper look."
34,sec:WELLS,WELLS DARRELL R,Wellsley Traders Ltd.,false_positive,"Individual vs corporate; 'Wells' vs 'Wellsley' — different stems."
34,sec:NEWLINKS,Newlinks Technology Ltd,NEWLINE PRODUCTIONS LTD.,false_positive,"'Newlinks' vs 'Newline' — different brands; different industries (tech vs media)."
34,sec:SMITH_EDGAR,Smith Edgar R. III,Smithfield Group Trading Corp.,false_positive,"Individual + 'Smithfield' surname-coincidence."
34,sec:TREMONT_REALTY,Tremont Realty Capital LLC,Tremont Alliance Corp.,uncertain,"Both use 'Tremont' (uncommon stem); same industry-adjacent (capital/alliance). Worth checking for shared principals."
34,sec:JOHNSTON_BRIAN,Johnston Brian Earle,Johnston Global Inc.,false_positive,"Surname-coincidence."
35,sec:EASTERN_BELL,Eastern Bell International XXVII Ltd,EASTERN WELL INTERNATIONAL LIMITED,false_positive,"'Eastern Bell' vs 'Eastern Well' — different brands."
36,sec:UWF,University of Wisconsin Foundation,UNIVERSITY OF ASIA INC.,false_positive,"University of Wisconsin Foundation is the endowment of a major US public university. 'University of Asia Inc' is unrelated."
36,sec:EAGLE_POINT,Eagle Point Credit Management LLC,EAGLE POINT MANAGEMENT SERVICES LTD.,uncertain,"Both use 'Eagle Point Management'; Eagle Point Credit is a known NYSE-listed CEF sponsor. Worth checking whether the offshore entity is a related Cayman feeder fund."
37,sec:CHINAONE,Chinaone Technology Ltd,CHINA WEBPHONE TECHNOLOGY LTD.,false_positive,"Different tech brands sharing 'China' geography prefix."
38,sec:THORNBURG,THORNBURG INVESTMENT MANAGEMENT INC,THORN VENUS MANAGEMENT LIMITED,false_positive,"Thornburg is a known US asset manager (>$40B AUM, Large Accelerated Filer); 'Thorn Venus' is unrelated."
39,sec:ROLLINS,ROLLINS CAPITAL PARTNERS LP,ROLLING CAPITAL LIMITED,false_positive,"'Rollins' vs 'Rolling' — different stems."
40,sec:KING_DUANE,King Duane H,KING HOUSE TRADING LTD.,false_positive,"Individual vs corporate; surname-coincidence."
40,sec:SYNERGY_OFFSHORE,Synergy Offshore LLC,SYNERGY OFFSHORE LIMITED,real,"Identical name + 'Offshore' literally in both. Same brand vehicle structured across jurisdictions (Delaware LLC + offshore Ltd). Worth investigating as a substantive match."
41,sec:STEINBERG_JOSEPH,STEINBERG JOSEPH S,Steiner Offshore Ltd,false_positive,"Individual (Joseph S. Steinberg = Leucadia chairman) vs unrelated entity."
42,sec:KING_STREET,"KING STREET CAPITAL MANAGEMENT, L.P.",King & Steel Capital Ltd,false_positive,"King Street Capital is a major US hedge fund (Large Accelerated Filer); 'King & Steel' is unrelated."
43,sec:SWANSON,Swanson Donald William,Swanson Worldwide Limited,false_positive,"Surname-coincidence."
44,sec:RIVERSTYX,Riverstyx Capital Management LLC,River Capital Management Ltd.,false_positive,"'Riverstyx' vs 'River' — different stems; common 'capital management' suffix."
45,sec:HONGFENG,Hongfeng International Group Ltd.,HONGFENG TRANSPORTATION AND CONSULTING LIMITED,uncertain,"Identical 'Hongfeng' prefix (uncommon outside Chinese diaspora). Both have 'International' / 'Limited' offshore vehicle shape. Worth checking — could be same business across two vehicles."
45,sec:DONGSHENG,Dongsheng International Group Ltd.,DongSheng Group Ltd.,uncertain,"'Dongsheng' is a generic Chinese stem; could be unrelated. Officer check needed."
